date,value
2013-07-12,0.29422224
2013-07-20,0.27988276
2013-07-28,0.28972366
2013-08-05,0.27820712
2013-08-13,0.27411574
2013-08-21,0.26083678
2013-08-29,0.2811857
2013-09-06,0.26490209
2013-09-14,0.24717858
2013-09-22,0.24283154
2013-09-30,0.30698466
2013-10-08,0.33464697
2013-10-16,0.4864865
2013-10-24,0.561261
2013-11-01,0.58800125
2013-11-09,0.5667153
2013-11-17,0.61626285
2013-11-25,0.5802877
2013-12-03,0.567908
2013-12-11,0.55185384
2013-12-19,0.56465405
2013-12-27,0.6253223
2014-01-01,0.6777448
2014-01-09,0.68668556
2014-01-17,0.6061485
2014-01-25,0.6752953
2014-02-02,0.69162345
2014-02-10,0.71452993
2014-02-18,0.7048177
2014-02-26,0.6770479
2014-03-06,0.6920498
2014-03-14,0.71012414
2014-03-22,0.7146078
2014-03-30,0.75997967
2014-04-07,0.6772772
2014-04-15,0.7081703
2014-04-23,0.7
2014-05-01,0.66625154
2014-05-09,0.50918275
2014-05-17,0.48316398
2014-05-25,0.41972822
2014-06-02,0.4220618
2014-06-10,0.33623055
2014-06-18,0.33752182
2014-06-26,0.3419194
2014-07-04,0.28764108
2014-07-12,0.2750533
2014-07-20,0.26502514
2014-07-28,0.2601626
2014-08-05,0.25617433
2014-08-13,0.23412204
2014-08-21,0.24330072
2014-08-29,0.25599316
2014-09-06,0.23941532
2014-09-14,0.22791606
2014-09-22,0.31056702
2014-09-30,0.34631082
2014-10-08,0.4388646
2014-10-16,0.5314183
2014-10-24,0.6264172
2014-11-01,0.6653856
2014-11-09,0.6964097
2014-11-17,0.7124232
2014-11-25,0.72843665
2014-12-03,0.74445015
2014-12-11,0.70233196
2014-12-19,0.7254902
2014-12-27,0.7108247
2015-01-01,0.6800618
2015-01-09,0.6344136
2015-01-17,0.6280358
2015-01-25,0.6030928
2015-02-02,0.6212406
2015-02-10,0.59661496
2015-02-18,0.62764
2015-02-26,0.69156396
2015-03-06,0.66421074
2015-03-14,0.6587636
2015-03-22,0.6852812
2015-03-30,0.6669691
2015-04-07,0.6555004
2015-04-15,0.67905915
2015-04-23,0.7026178
2015-05-01,0.6522962
2015-05-09,0.50060433
2015-05-17,0.42849937
2015-05-25,0.39027777
2015-06-02,0.32874015
2015-06-10,0.2980545
2015-06-18,0.26120448
2015-06-26,0.28933033
2015-07-04,0.26998112
2015-07-12,0.24428822
2015-07-20,0.24858044
2015-07-28,0.27374005
2015-08-05,0.23695228
2015-08-13,0.24016505
2015-08-21,0.23575479
2015-08-29,0.24150944
2015-09-06,0.26563308
2015-09-14,0.23010875
2015-09-22,0.2440367
2015-09-30,0.25316116
2015-10-08,0.27069956
2015-10-16,0.3846154
2015-10-24,0.44537815
2015-11-01,0.52923197
2015-11-09,0.54317313
2015-11-17,0.5857784
2015-11-25,0.65067065
2015-12-03,0.5432479
2015-12-11,0.6183514
2015-12-19,0.60682046
2015-12-27,0.60682046
